linea,producto_original,producto_normalizado,tiene_venta,tiene_costo,venta,costo,utilidad,margen
Linea_C,KELNOVA X 1L,KELNOVA X 1L,True,True,517.6,373.59,144.01000000000005,0.2782264296754251
Linea_C,AGRIX X 20L,AGRIX X 20L,True,True,1270.09,918.97,351.1199999999999,0.27645284979804574
Linea_C,BONERA X 20L,BONERA X 20L,True,True,453.05,335.28,117.77000000000004,0.25994923297649275
Linea_C,MICRONA X 20L,MICRONA X 20L,True,True,1335.01,948.72,386.28999999999996,0.2893536378004659
Linea_C,GUARDEN X 20L,GUARDEN X 20L,True,True,701.77,514.68,187.09000000000003,0.26659731820966986
Linea_C,Linea_C_Prod_19 X 20L,LINEA_C_PROD_19 X 20L,True,True,778.65,561.75,216.89999999999998,0.2785590445000963
Linea_C,Linea_C_Prod_20 X 20L,LINEA_C_PROD_20 X 20L,True,True,318.01,229.95,88.06,0.2769095311468193
Linea_C,Linea_C_Prod_21 X 1L,LINEA_C_PROD_21 X 1L,True,True,741.99,545.93,196.06000000000006,0.2642353670534644
Linea_C,Linea_C_Prod_22 X 1L,LINEA_C_PROD_22 X 1L,True,True,625.21,457.61,167.60000000000002,0.26806992850402267
Linea_C,Linea_C_Prod_23 X 1L,LINEA_C_PROD_23 X 1L,True,True,399.4,283.2,116.19999999999999,0.29093640460691034
Linea_C,Linea_C_Prod_24 X 5L,LINEA_C_PROD_24 X 5L,True,True,507.39,379.82,127.57,0.25142395396046435
Linea_C,Linea_C_Prod_25 X 1L,LINEA_C_PROD_25 X 1L,True,True,889.91,632.88,257.03,0.2888269600296659
Linea_C,Linea_C_Prod_26 X 1L,LINEA_C_PROD_26 X 1L,True,True,657.32,472.15,185.17000000000007,0.28170449704862177
Linea_C,Linea_C_Prod_27 X 5L,LINEA_C_PROD_27 X 5L,True,True,949.59,686.0,263.59000000000003,0.2775829568550638
Linea_C,Linea_C_Prod_28 X 5L,LINEA_C_PROD_28 X 5L,True,True,205.25,148.24,57.00999999999999,0.2777588306942752
Linea_C,Linea_C_Prod_29 X 17L,LINEA_C_PROD_29 X 17L,True,True,966.6,692.16,274.44000000000005,0.28392302917442586
Linea_C,Linea_C_Prod_30 X 20L,LINEA_C_PROD_30 X 20L,True,True,1596.79,1160.18,436.6099999999999,0.27342981857351306
Linea_C,Linea_C_Prod_31 X 1K,LINEA_C_PROD_31 X 1K,True,True,365.97,269.08,96.89000000000004,0.2647484766510917
Linea_C,Linea_C_Prod_32 X 20L,LINEA_C_PROD_32 X 20L,True,True,852.01,634.76,217.25,0.25498527012593747
Linea_D,ZEUTEC X 1L,ZEUTEC X 1L,True,True,11516.61,6021.12,5495.490000000001,0.477179482503966
Linea_D,RASHEN X 0.25L,RASHEN X 0.25L,True,True,7147.9,3729.88,3418.0199999999995,0.4781852012479189
Linea_D,TRAZOR X 1L,TRAZOR X 1L,True,True,17939.53,8002.47,9937.059999999998,0.5539197515208034
Linea_D,CONTROLA X 100GRM,CONTROLA X 100GRM,True,True,4710.59,2178.9,2531.69,0.5374464769805906
Linea_D,VELTIN X 100GRM,VELTIN X 100GRM,True,True,2080.08,1103.22,976.8599999999999,0.46962616822429903
